address,quantity
0xbe60caef7638612492feb5b8122a38717ba7b926,1
0xa3a71c1b7f87573f9b121e5b19fc2ebce4085cf1,1
0x000000006f457c0f8f560333d9c2877287d92a92,1
0x000006852707efdcb2db24b39f47ae03a28aedfb,1
0xc1321103d6e7ac32fb104ed3f1fd1fce2cc54d55,1
0xc9ff4e76de76a4316d81a4e28d5497c438296e25,1
0x5f0ea5ee8d2120f98e891fdc834043f90528e648,1
0xc7756e4980d0c4503c75e499d1618f9f48b050e3,1
0x44a7715bd1b6b802e94b6b89c4d7157d4040586b,1
0x8a1749218c2c4b100045d97d0e953c48c2541dfc,1
0x5290220f6c834734b974bdda379d262550316bef,1
0xf1f5187c7c9d1e81a9c975c641dbd27631134057,1
0xd6c061f37a6dc54c0ec57ae2676f36641c01174f,1
0x58306cc36224450481b5e2fac6c21a369eb20dc4,1
0x7e0fef1c3bf356f9fc0fb876fbfcaa9e53574226,1
0x8ada33fba2e7c2afd43f4e55d5780db70b9a286b,1
0x94587ecea8970edbb39b6a1a58332efdfb8ec038,1
 0x30dbc88c27a717c077a9cd2ca7550c73447ca811,1
0x70f3c3f1b0184dcc3d86cf5ce15d0248ffff9711,1
0x8b16dd3b8363cd85b14db394cda9e153bffbb61d,1
0x1a730411590d9798ceec2d07e2f3f2cfd1f51b8c,1
0x0ad50c58d425a264105d826f65e9db156bd864bb,1
0xc30e6905e260b1c4126b080cc445f67de2b52717,1
0xa08e0fee921525286d8720601c4c414da1cedf75,1
0x15ee523fb157982cb1f993bc15a7f40af0ebd2a6,1
0xe7874b8fd44f845a93beed5c631708da780af64f,1
0x4cea4832ec4dc78594021beb45a3ad0ffe685b63,1
0xcc6bcee83c5227a61f13c4f04c313a6e25b4639c,1
0x6748bc46a796e550b3c206401f634e61238bfe97,1
0x1f7f36b7469748eda342e3795a8102dda585e4b8,1
0x8fddbbbf2d18159b14fe53041a65b2a890ac3f48,1
0xb0c9117b58dcf1ba97c7be7bb3102b0ce0a0050c,1
0x01dac2da58c5f335958964c4488c069928e30e76,1
0x5e46f1ae9115402949d12fbbdc601c0dcf1e292d,1
0xc039492610f7984178906f1175e875eab393557f,1
"0x5c18ec120ecc2bfaccc7c09cc1a41860fd163f54
0xe109b0b45d1641d40f3e715fe9560aca3fc876bc
0x8ed3230719dbea66b65bf60902657efffdbeb70f",1
